# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: /home/ece385user/Desktop/lab5/PINS.csv
# Generated on: Fri Mar  5 13:13:31 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
Clk,Input,PIN_P11,3,B3_N0,PIN_D21,,,,,,
Continue,Input,PIN_B8,7,B7_N0,PIN_A19,,,,,,
HEX0[6],Output,PIN_C17,7,B7_N0,PIN_C13,,,,,,
HEX0[5],Output,PIN_D17,7,B7_N0,PIN_A7,,,,,,
HEX0[4],Output,PIN_E16,7,B7_N0,PIN_N9,,,,,,
HEX0[3],Output,PIN_C16,7,B7_N0,PIN_A6,,,,,,
HEX0[2],Output,PIN_C15,7,B7_N0,PIN_J20,,,,,,
HEX0[1],Output,PIN_E15,7,B7_N0,PIN_E11,,,,,,
HEX0[0],Output,PIN_C14,7,B7_N0,PIN_A2,,,,,,
HEX1[6],Output,PIN_B17,7,B7_N0,PIN_D13,,,,,,
HEX1[5],Output,PIN_A18,7,B7_N0,PIN_AB3,,,,,,
HEX1[4],Output,PIN_A17,7,B7_N0,PIN_C9,,,,,,
HEX1[3],Output,PIN_B16,7,B7_N0,PIN_AA21,,,,,,
HEX1[2],Output,PIN_E18,6,B6_N0,PIN_AB9,,,,,,
HEX1[1],Output,PIN_D18,6,B6_N0,PIN_U6,,,,,,
HEX1[0],Output,PIN_C18,7,B7_N0,PIN_AB4,,,,,,
HEX2[6],Output,PIN_B22,6,B6_N0,PIN_W8,,,,,,
HEX2[5],Output,PIN_C22,6,B6_N0,PIN_Y22,,,,,,
HEX2[4],Output,PIN_B21,6,B6_N0,PIN_M8,,,,,,
HEX2[3],Output,PIN_A21,6,B6_N0,PIN_B10,,,,,,
HEX2[2],Output,PIN_B19,7,B7_N0,PIN_C4,,,,,,
HEX2[1],Output,PIN_A20,7,B7_N0,PIN_D15,,,,,,
HEX2[0],Output,PIN_B20,6,B6_N0,PIN_A20,,,,,,
HEX3[6],Output,PIN_E17,6,B6_N0,PIN_AA11,,,,,,
HEX3[5],Output,PIN_D19,6,B6_N0,PIN_Y5,,,,,,
HEX3[4],Output,PIN_C20,6,B6_N0,PIN_F18,,,,,,
HEX3[3],Output,PIN_C19,7,B7_N0,PIN_E12,,,,,,
HEX3[2],Output,PIN_E21,6,B6_N0,PIN_W12,,,,,,
HEX3[1],Output,PIN_E22,6,B6_N0,PIN_C14,,,,,,
HEX3[0],Output,PIN_F21,6,B6_N0,PIN_Y8,,,,,,
LED[9],Output,PIN_B11,7,B7_N0,PIN_R12,,,,,,
LED[8],Output,PIN_A11,7,B7_N0,PIN_V21,,,,,,
LED[7],Output,PIN_D14,7,B7_N0,PIN_N4,,,,,,
LED[6],Output,PIN_E14,7,B7_N0,PIN_L9,,,,,,
LED[5],Output,PIN_C13,7,B7_N0,PIN_A10,,,,,,
LED[4],Output,PIN_D13,7,B7_N0,PIN_B3,,,,,,
LED[3],Output,PIN_B10,7,B7_N0,PIN_C19,,,,,,
LED[2],Output,PIN_A10,7,B7_N0,PIN_H19,,,,,,
LED[1],Output,PIN_A9,7,B7_N0,PIN_V5,,,,,,
LED[0],Output,PIN_A8,7,B7_N0,PIN_F21,,,,,,
Run,Input,PIN_A7,7,B7_N0,PIN_E21,,,,,,
SW[9],Input,PIN_F15,7,B7_N0,PIN_C2,,,,,,
SW[8],Input,PIN_B14,7,B7_N0,PIN_AB11,,,,,,
SW[7],Input,PIN_A14,7,B7_N0,PIN_AB18,,,,,,
SW[6],Input,PIN_A13,7,B7_N0,PIN_E6,,,,,,
SW[5],Input,PIN_B12,7,B7_N0,PIN_Y7,,,,,,
SW[4],Input,PIN_A12,7,B7_N0,PIN_K8,,,,,,
SW[3],Input,PIN_C12,7,B7_N0,PIN_H14,,,,,,
SW[2],Input,PIN_D12,7,B7_N0,PIN_W1,,,,,,
SW[1],Input,PIN_C11,7,B7_N0,PIN_D9,,,,,,
SW[0],Input,PIN_C10,7,B7_N0,PIN_B2,,,,,,
